err_whole, err1, err2, err3, err4, err5, err6, err7, err8, err9
6.207726705743429191e-03,6.670463883726275925e-03,6.200081391299897514e-03,8.361225339736736914e-03,1.111345364227857117e-02,3.791360836095041854e-03,4.155845395388597756e-03,4.864646149397102576e-03,7.120876373188565062e-03,3.866609253109040689e-03
6.786619323713923534e-03,5.304329162354249824e-03,6.343425638709604061e-03,5.859304456289495845e-03,1.376553788838968777e-02,4.797819482990742061e-03,4.447468280339737963e-03,5.284756848656257076e-03,7.660114913090892812e-03,3.154727295167072173e-03
6.356164068842948787e-03,3.950580765143995449e-03,5.921804983679090570e-03,7.489075644893051706e-03,1.019078377705280591e-02,4.810958976676241346e-03,4.478028779306979408e-03,4.983090764919226832e-03,8.691074784384167015e-03,6.688305160036868598e-03
6.523008070104755612e-03,3.800919968387553999e-03,5.611245067784333650e-03,1.177147249149148103e-02,1.061763297715472357e-02,3.709369682919767298e-03,4.287662072360877083e-03,5.429896798276218593e-03,6.802147484773241222e-03,5.727920136558011487e-03
6.989252778998830337e-03,6.833844557474553008e-03,5.534952110990662942e-03,6.752138739714352682e-03,1.385457713362458522e-02,4.537144234097127866e-03,5.226658769127059262e-03,5.431989006250683046e-03,7.413006019583336451e-03,5.657951656112848553e-03
6.912428613131230658e-03,5.067078550139664760e-03,6.318108896665619589e-03,9.059149440813265078e-03,1.282519582948237619e-02,4.375721342784701616e-03,4.480731865225118064e-03,5.183750850153144053e-03,9.615279230939998908e-03,4.379697264293759724e-03
5.907110782767993791e-03,2.928672589196809617e-03,5.235744558209805277e-03,8.351638034131969590e-03,1.016114650141720227e-02,4.065594229571289561e-03,4.058960898702069706e-03,4.955202757353580588e-03,7.708715950084475167e-03,4.710084897662686169e-03
5.887952674786972943e-03,4.403846142105769315e-03,7.003438730917634428e-03,5.625276370757488313e-03,8.649998024083255244e-03,4.728367331123230211e-03,4.637480698032501840e-03,4.627305154599353244e-03,6.855824362846172325e-03,4.108436114466593354e-03
7.376600838696345530e-03,3.712255505177030224e-03,6.032446442853236189e-03,8.668171912034878732e-03,1.031821533788550987e-02,3.894084109302035218e-03,4.314133578000493331e-03,5.703530793067011426e-03,6.650018065096630938e-03,1.376719949125445631e-02
6.134036623057990446e-03,3.214457753396221702e-03,4.857136128898478442e-03,6.532306937076645323e-03,1.172139487327246085e-02,4.530729752275384180e-03,3.696544546991568751e-03,4.927233146139739679e-03,9.880212208409632629e-03,4.994388231873160208e-03
6.295632178415070702e-03,7.237147307428721567e-03,4.876516026528308206e-03,8.646955079213931861e-03,8.850743120549394577e-03,4.626087336212117256e-03,3.537270325498688243e-03,4.759329477414128706e-03,8.676339186115239466e-03,9.976425601782388380e-03
5.620879247603013246e-03,5.703422930035602009e-03,5.608520548496135315e-03,6.271088322836877206e-03,1.049203887062675339e-02,4.018194231802298816e-03,3.491390514954336582e-03,4.205025123349188758e-03,7.572296055421426191e-03,2.919732527112562769e-03
